,op_unique_carrier,delayed
0,AS,0.25463118895250925
1,OH,0.24359348306179424
2,G4,0.22576014615685763
3,MQ,0.22425249169435216
4,YV,0.19916442511303153
5,OO,0.18609804175479489
6,AA,0.1845320118719525
7,B6,0.18394866171154706
8,F9,0.18307342430149448
9,EV,0.17521202775636083
10,NK,0.16950325967807073
11,UA,0.16124867240050814
12,WN,0.14154008987261857
13,YX,0.14146950669534447
14,DL,0.13616004403963566
15,9E,0.1348290132868656
16,HA,0.11603706343549537
